Client ID,Client Name,State,Industry,Contract Value,CTR,Total Ad Spend,Total Revenue Generated,Return on Investment (ROI),Total Leads,Conversion Rate,Leads converted,Contract Start_month,Contract Start_year,Contract Start Date_month,Contract Start Date_year,Contract End Date_month,Contract End Date_year,Contract End Date.1_month,Contract End Date.1_year
Client-1L022,Trendy Threads Boutique,Oregon,Technology,17665,0.043,3563,1321748.295,36996.5,436,0.06158141172,26.84949551,5,2022,5,2022,3,2024,3,2024
Client-85N44,Luxe Home Decor Emporium,New York,Finance,1627,0.021,1466,19081.456,1201.6,683,0.05361788182,36.62101329,2,2022,2,2022,11,2024,11,2024
Client-6P179,UrbanGlow Beauty Supplies,Iowa,Retail,22874,0.013,3322,1443761.132,43360.6,792,0.04601072965,36.44049788,9,2023,9,2023,9,2024,9,2024
Client-7A538,FreshBite Grocery Mart,Ohio,Retail,21843,0.01,3837,1760043.411,45770.3,380,0.06549362468,24.88757738,8,2023,8,2023,12,2024,12,2024
Client-23C65,StyleSavvy Fashion House,New Mexico,Healthcare,9732,0.012,1978,307998.336,15471.2,642,0.05627146727,36.12628199,1,2022,1,2022,9,2024,9,2024
Client-9L911,EliteSportswear Outlet,Hawaii,Healthcare,18322,0.035,4161,3278227.206,78684.6,578,0.04187422213,24.20330039,5,2023,5,2023,4,2024,4,2024
Client-49V92,GreenThumb Garden Center,North Carolina,Technology,4202,0.021,3138,316461.024,9984.8,466,0.03467015489,16.15629218,11,2023,11,2023,8,2024,8,2024
Client-31W84,CozyComfort Furniture Store,Missouri,Healthcare,13115,0.049,2687,1021960.145,37933.5,237,0.06165455872,14.61213042,2,2023,2,2023,9,2024,9,2024
Client-4D344,SweetTooth Confectionery,New Hampshire,Retail,2145,0.005,4543,341065.725,7407.5,249,0.03070629984,7.64586866,3,2023,3,2023,12,2024,12,2024
Client-65S76,SmartBuy Electronics Store,Louisiana,Healthcare,19593,0.041,967,265250.034,27330.2,358,0.05600833316,20.05098327,10,2022,10,2022,7,2024,7,2024
Client-6U554,KidZone Toy Emporium,Kentucky,Retail,16061,0.006,585,65769.795,11142.7,675,0.06767744867,45.68227785,12,2023,12,2023,12,2024,12,2024
Client-12J45,SparkleSparkle Jewelry Boutique,Oregon,Healthcare,1227,0.014,2248,99298.656,4317.2,461,0.03484340685,16.06281056,9,2022,9,2022,4,2024,4,2024
Client-6W921,PetParadise Pet Supplies,Illinois,Healthcare,11844,0.047,956,543497.472,56751.2,490,0.06453587449,31.6225785,7,2023,7,2023,10,2024,10,2024
Client-8O125,Bookworm Books & Stationery,Hawaii,Technology,6112,0.046,898,170145.856,18847.2,352,0.04262002095,15.00224738,4,2022,4,2022,12,2024,12,2024
Client-90E57,HomeHarbor Hardware Store,Indiana,Technology,14041,0.006,1421,618520.091,43427.1,316,0.06355615143,20.08374385,7,2022,7,2022,11,2024,11,2024
Client-21F09,ToolTime Tool Shop,Connecticut,Finance,21609,0.025,656,127579.536,19348.1,264,0.04391756808,11.59423797,11,2022,11,2022,12,2024,12,2024
Client-75Y88,CycleCity Bike Store,Oklahoma,Healthcare,22915,0.013,4079,654291.995,15940.5,209,0.05163863337,10.79247437,5,2022,5,2022,7,2024,7,2024
Client-2R213,CraftyHands Art Supplies,Oklahoma,Finance,9559,0.019,1420,624393.88,43871.4,226,0.05243286358,11.84982717,2,2022,2,2022,9,2024,9,2024
Client-5K796,GadgetGalaxy Tech Store,Connecticut,Technology,17851,0.027,580,372728.88,64163.6,613,0.04030300495,24.70574203,5,2022,5,2022,10,2024,10,2024
Client-76X29,AdventureGear Outdoor Store,Georgia,Finance,20129,0.018,4094,3873181.922,94506.3,623,0.05279491028,32.89122911,1,2022,1,2022,11,2024,11,2024
Client-18T76,CodeCrafters IT Services,Pennsylvania,Retail,20210,0.016,854,172593.4,20110.0,711,0.0554077032,39.39487698,5,2022,5,2022,6,2024,6,2024
Client-4B745,CyberSphere Security Solutions,Nevada,Retail,2737,0.035,1762,207371.542,11669.1,261,0.06553958105,17.10583066,5,2022,5,2022,10,2024,10,2024
Client-38V61,DataDynamo Analytics,California,Retail,15796,0.01,4177,1715477.192,40969.6,238,0.04177906373,9.943417167,2,2022,2,2022,4,2024,4,2024
Client-59M46,AppLaunch App Development,Maine,Finance,23937,0.037,4937,3899839.977,78892.1,495,0.03027892797,14.98806935,6,2023,6,2023,7,2024,7,2024
Client-29A357,TechTrend Innovations,Nebraska,Technology,3412,0.01,979,40084.176,3994.4,465,0.03028775232,14.08380483,3,2023,3,2023,11,2024,11,2024
Client-67L493,CloudNine Hosting Services,Connecticut,Retail,21561,0.034,4861,1572120.315,32241.5,276,0.03462564118,9.556676967,12,2023,12,2023,6,2024,6,2024
Client-1P722,DigitalDreams Web Design,Colorado,Healthcare,20340,0.029,4551,2869587.54,62954.0,791,0.05613332403,44.40145931,2,2023,2,2023,5,2024,5,2024
Client-55G138,NetworkNinja IT Consulting,Nebraska,Technology,19908,0.013,3577,3133280.304,87495.2,344,0.056519981,19.44287346,2,2022,2,2022,4,2024,4,2024
Client-7N058,PixelPerfect Graphic Design,Kansas,Finance,22566,0.04,3657,2970859.032,81137.6,374,0.06847973308,25.61142017,4,2023,4,2023,9,2024,9,2024
Client-9W124,TechSmart AI Solutions,New Mexico,Finance,6919,0.01,2024,504146.016,24808.4,743,0.06060593835,45.0302122,7,2023,7,2023,10,2024,10,2024
Client-63E640,E-Commerce Express,Kansas,Technology,15734,0.048,4265,2147376.32,50248.8,621,0.05503937743,34.17945338,8,2022,8,2022,5,2024,5,2024
Client-41F98,QuantumLeap Tech,North Carolina,Healthcare,23025,0.042,873,522621.45,59765.0,418,0.03619196565,15.12824164,4,2022,4,2022,6,2024,6,2024
Client-2R532,FutureTech Robotics,Massachusetts,Finance,20452,0.018,4115,1935679.54,46939.6,287,0.06326980601,18.15843432,11,2022,11,2022,5,2024,5,2024
Client-6T681,MindMeld Tech Solutions,Idaho,Retail,5008,0.046,4139,476746.576,11418.4,269,0.03171090292,8.530232884,3,2022,3,2022,4,2024,4,2024
Client-8D346,CodeCrunchers Software Development,Pennsylvania,Healthcare,10941,0.024,860,395188.92,45852.2,761,0.04568966236,34.76983305,10,2023,10,2023,6,2024,6,2024
Client-92S213,WebWizardry Website Services,Maine,Finance,14426,0.029,1910,247982.94,12883.4,241,0.05069032734,12.21636889,4,2022,4,2022,10,2024,10,2024
Client-73K279,InnovateIQ Tech Solutions,South Dakota,Healthcare,17346,0.01,1783,463918.77,25919.0,766,0.04422780999,33.87850245,11,2023,11,2023,8,2024,8,2024
Client-84X231,ConnectTech Networking Solutions,North Dakota,Retail,2973,0.049,4495,654818.115,14467.7,410,0.03490999778,14.31309909,3,2023,3,2023,11,2024,11,2024
Client-59V042,PowerUp Tech Support,Maine,Finance,5083,0.036,2311,493366.146,21248.6,503,0.04190597751,21.07870669,12,2023,12,2023,9,2024,9,2024
Client-10L724,HeartBeat Medical Center,Florida,Retail,10085,0.014,2214,491220.18,22087.0,788,0.0351338786,27.68549634,1,2022,1,2022,7,2024,7,2024
Client-32N581,SmileBright Dental Clinic,Minnesota,Healthcare,1497,0.028,3643,49082.139,1247.3,435,0.03455970307,15.03347083,11,2022,11,2022,8,2024,8,2024
Client-47W850,CareFirst Health Services,Hawaii,Finance,6830,0.018,1626,66633.48,3998.0,279,0.06766209421,18.87772429,8,2023,8,2023,8,2024,8,2024
Client-8O681,MindBody Wellness Center,Illinois,Healthcare,20384,0.03,4351,1507743.328,34552.8,687,0.04638894026,31.86920196,12,2022,12,2022,5,2024,5,2024
Client-16F923,VisionCare Optometry,Florida,Finance,13959,0.008,3286,2018248.056,61319.6,293,0.06067946506,17.77908326,9,2022,9,2022,4,2024,4,2024
Client-92Y730,SereneCare Mental Health Clinic,Arizona,Technology,18363,0.011,731,295313.766,40298.6,800,0.06718745554,53.74996443,1,2023,1,2023,11,2024,11,2024
Client-34R187,BioWellness Integrative Medicine,Arkansas,Finance,22365,0.011,2843,1780343.46,62522.0,518,0.03833378847,19.85690243,12,2022,12,2022,4,2024,4,2024
Client-52K276,DermAesthetics Skin Clinic,Iowa,Finance,19054,0.005,1235,1129521.12,91359.2,538,0.05304317099,28.53722599,12,2023,12,2023,10,2024,10,2024
Client-45X813,OrthoWorks Orthopedic Center,Louisiana,Healthcare,6158,0.043,1329,278255.388,20837.2,763,0.03863506715,29.47855624,6,2022,6,2022,9,2024,9,2024
Client-21W240,LifeLine Pharmacy,New Jersey,Healthcare,14926,0.042,4228,2145642.352,50648.4,312,0.05366894836,16.74471189,3,2022,3,2022,7,2024,7,2024
Client-68M534,Vitality Fitness & Rehab,North Dakota,Healthcare,1316,0.042,3943,124535.712,3058.4,380,0.06522830034,24.78675413,12,2023,12,2023,11,2024,11,2024
Client-84A327,HarmonyHaven Counseling Services,California,Healthcare,7828,0.034,3517,633214.748,17904.4,223,0.04647902611,10.36482282,11,2023,11,2023,7,2024,7,2024
Client-57L841,NuCare Nutrition Center,Kansas,Technology,1115,0.028,2789,152377.015,5363.5,390,0.06008350141,23.43256555,12,2023,12,2023,6,2024,6,2024
Client-29P703,HolisticHealth Healing Center,New York,Retail,24594,0.012,776,400783.824,51547.4,374,0.04885948604,18.27344778,12,2022,12,2022,4,2024,4,2024
Client-15G692,CareGivers Home Health,Arkansas,Healthcare,4447,0.027,939,125271.99,13241.0,260,0.06701912717,17.42497306,9,2022,9,2022,9,2024,9,2024
Client-62N498,Nature'sBest Natural Medicine,Alaska,Technology,2848,0.006,1575,121111.2,7589.6,629,0.0352057818,22.14443675,10,2022,10,2022,8,2024,8,2024
Client-73W641,BodyBalance Physical Therapy,Maryland,Technology,14893,0.031,1876,1033752.916,55004.1,731,0.0432054402,31.58317679,10,2022,10,2022,7,2024,7,2024
Client-48D376,BioTech Medical Innovations,Kentucky,Finance,1017,0.042,2407,122395.95,4985.0,518,0.05425560294,28.10440232,12,2023,12,2023,7,2024,7,2024
Client-90S417,WellnessWise Health & Wellness,Georgia,Healthcare,18120,0.027,4986,4065584.4,81440.0,462,0.06148421345,28.40570661,4,2022,4,2022,10,2024,10,2024
Client-37K109,MoneyMatters Accounting Services,Nevada,Healthcare,10316,0.023,3972,327801.216,8152.8,400,0.06569520687,26.27808275,6,2022,6,2022,6,2024,6,2024
Client-23V196,InvestWise Wealth Management,Alaska,Retail,8724,0.019,3516,674818.848,19092.8,482,0.04021702885,19.38460791,10,2023,10,2023,11,2024,11,2024
Client-51L639,TaxTech Tax Consultants,Florida,Retail,17795,0.041,4965,1767043.5,35490.0,437,0.05425088478,23.70763665,8,2023,8,2023,8,2024,8,2024
Client-64N215,CreditCare Credit Union,New Jersey,Technology,17862,0.042,4529,2750497.932,60630.8,498,0.05478794991,27.28439905,2,2023,2,2023,5,2024,5,2024
Client-38W570,EstateEdge Estate Planning,Mississippi,Retail,22862,0.036,2106,433326.348,20475.8,395,0.04640856353,18.33138259,1,2022,1,2022,12,2024,12,2024
Client-26O791,SecureFuture Insurance Agency,South Carolina,Finance,23538,0.008,736,589014.912,79929.2,649,0.05681395135,36.87225442,3,2023,3,2023,10,2024,10,2024
Client-96F307,GrowWealth Investments,Colorado,Technology,5380,0.033,2918,690748.96,23572.0,506,0.04207262862,21.28875008,5,2023,5,2023,7,2024,7,2024
Client-72Y810,Financio Financial Services,Delaware,Retail,16907,0.029,2118,1002652.728,47239.6,744,0.03015987912,22.43895007,8,2022,8,2022,10,2024,10,2024
Client-45R217,VentureValley Venture Capital,California,Retail,5777,0.044,2273,196966.815,8565.5,239,0.06404409786,15.30653939,11,2023,11,2023,4,2024,4,2024
Client-54K482,EquityEdge Financial Planning,Idaho,Technology,19666,0.038,2327,320339.474,13666.2,780,0.0392403554,30.60747721,5,2022,5,2022,9,2024,9,2024
Client-18X356,WealthWise Financial Advisors,Montana,Technology,8666,0.015,4753,1112116.446,23298.2,664,0.04595717343,30.51556316,2,2022,2,2022,4,2024,4,2024
Client-88M294,BankOnUs Banking Services,Delaware,Technology,18042,0.041,3687,2660834.16,72068.0,640,0.05267054335,33.70914775,5,2023,5,2023,3,2024,3,2024
Client-31A608,FundFocus Investment Management,Arizona,Healthcare,23296,0.028,2423,1467601.408,60469.6,558,0.05867617371,32.74130493,10,2022,10,2022,6,2024,6,2024
Client-59L524,LoanLink Financial Solutions,South Carolina,Retail,3100,0.026,3204,69526.8,2070.0,750,0.06757759571,50.68319678,7,2023,7,2023,10,2024,10,2024
Client-71P268,PensionPlus Retirement Planning,Georgia,Technology,14527,0.047,3404,296699.448,8616.2,447,0.05116085373,22.86890162,10,2023,10,2023,11,2024,11,2024
Client-12G485,CashFlow Consulting,Iowa,Retail,19105,0.026,1528,963350.52,62946.5,691,0.05590648382,38.63138032,6,2023,6,2023,7,2024,7,2024
Client-25N743,MarketMinds Financial Analysis,Alaska,Technology,24805,0.027,4315,2354738.65,54471.0,379,0.0401212505,15.20595394,9,2023,9,2023,3,2024,3,2024
Client-87W916,AssetAdvise Asset Management,Rhode Island,Finance,14606,0.005,1744,713240.192,40796.8,798,0.03857434249,30.7823253,6,2023,6,2023,12,2024,12,2024
Client-36D479,TrustTech Trust Services,Illinois,Retail,14277,0.019,3792,1624151.52,42731.0,621,0.06969254034,43.27906755,8,2022,8,2022,12,2024,12,2024
Client-64S325,AlphaOmega Solutions,Mississippi,Retail,2323,0.007,1617,157764.222,9656.6,548,0.06669794558,36.55047418,4,2023,4,2023,6,2024,6,2024
Client-47K802,GlobalConnect Enterprises,Michigan,Retail,14401,0.036,731,452666.633,61824.3,506,0.0347799711,17.59866538,5,2022,5,2022,10,2024,10,2024
Client-39V746,QuantumLeap Innovations,Indiana,Healthcare,8657,0.048,3516,1187082.468,33662.3,760,0.06731613944,51.16026598,6,2022,6,2022,3,2024,3,2024
Client-93L417,UnityWorks Corporation,Delaware,Finance,11329,0.016,4050,825884.1,20292.2,340,0.03719282784,12.64556147,8,2022,8,2022,7,2024,7,2024
Client-58N429,InfinityGrowth Ventures,Rhode Island,Finance,5221,0.005,1381,158624.422,11386.2,780,0.05565442504,43.41045153,6,2023,6,2023,12,2024,12,2024
Client-79W036,HarmonyTech Solutions,Indiana,Finance,20424,0.041,1118,1073199.504,95892.8,326,0.05036869617,16.42019495,4,2023,4,2023,5,2024,5,2024
Client-21R843,Evergreen Enterprises,New Hampshire,Healthcare,19623,0.006,3170,2737016.04,86241.2,387,0.04425908181,17.12826466,7,2023,7,2023,8,2024,8,2024
Client-74K392,BlueSky Consulting Group,Montana,Technology,23476,0.038,1952,687377.28,35114.0,215,0.03517397768,7.562405202,1,2023,1,2023,8,2024,8,2024
Client-85X721,Starlight Strategies,Massachusetts,Technology,14100,0.02,2467,1704450.3,68990.0,318,0.03411474813,10.84848991,9,2023,9,2023,7,2024,7,2024
Client-68O039,NexusNest Ventures,Missouri,Technology,24582,0.042,3748,1474133.376,39231.2,635,0.05536787053,35.15859779,11,2023,11,2023,6,2024,6,2024
Client-13F247,PrimePulse Innovations,Michigan,Finance,6776,0.047,3455,1053498.6,30392.0,563,0.05262881722,29.63002409,5,2022,5,2022,4,2024,4,2024
Client-47Y691,Horizon Heights Corporation,Minnesota,Retail,10069,0.01,812,376097.288,46217.4,345,0.06687379451,23.07145911,5,2023,5,2023,9,2024,9,2024
Client-52M187,BrightFuture Enterprises,Louisiana,Finance,4215,0.024,1018,81526.53,7908.5,324,0.05221991692,16.91925308,5,2023,5,2023,7,2024,7,2024
Client-26A951,SwiftSolutions Inc.,Arizona,Finance,19077,0.03,4976,4271721.84,85746.5,715,0.05067868243,36.23525794,8,2022,8,2022,10,2024,10,2024
Client-64L293,StellarEdge Consulting,Maryland,Technology,11663,0.021,706,411703.9,58215.0,642,0.04091267642,26.26593826,6,2023,6,2023,10,2024,10,2024
Client-39P124,EliteAxis Enterprises,Idaho,Retail,13007,0.044,2346,152572.11,6403.5,796,0.05626566257,44.78746741,7,2022,7,2022,8,2024,8,2024
Client-17G930,ApexInnovate Corporation,Ohio,Finance,5512,0.014,2504,179426.624,7065.6,498,0.06816856579,33.94794576,8,2022,8,2022,9,2024,9,2024
Client-81N267,DynamicVision Ventures,Maryland,Healthcare,18556,0.02,3727,2074746.36,55568.0,799,0.04289352523,34.27192666,2,2023,2,2023,7,2024,7,2024
Client-95W632,PhoenixRise Solutions,Colorado,Retail,23013,0.026,3357,2008620.666,59733.8,567,0.05614925265,31.83662625,4,2022,4,2022,8,2024,8,2024
Client-43D917,TitanTech Enterprises,South Dakota,Healthcare,4793,0.032,3061,645540.412,20989.2,483,0.05230605144,25.26382285,12,2023,12,2023,9,2024,9,2024
Client-77S248,Visionary Ventures,Kentucky,Technology,15373,0.026,4581,3450761.937,75227.7,325,0.0553163776,17.97782272,5,2023,5,2023,10,2024,10,2024
Client-58K973,BoldHorizon Enterprises,Arkansas,Technology,2026,0.018,2523,204463.92,8004.0,490,0.03174985238,15.55742767,4,2022,4,2022,3,2024,3,2024
